soubor,spisovka,datum,soud,reference
0073_4As__1800031_20180522123751_20180523092029_prevedeno.txt,4 As 73/2018-31,2018-04-27,SupAdmCo,11 Tdo 19/2015
0022_2As__100_20110302092022_prevedeno.txt,2 As 22/2010-194,2011-02-28,SupAdmCo,21 Cdo 2207/2003
0016_7Afs_120_20120709032013_prevedeno.txt,7 Afs 16/2012-40,2012-06-07,SupAdmCo,21 Cdo 1486/2005
0016_7Afs_120_20120709032013_prevedeno.txt,7 Afs 16/2012-40,2012-06-07,SupAdmCo,21 Cdo 3488/2006
0259_8As__1600048_20180903154931_20180904124022_prevedeno.txt,8 As 259/2016-48,2018-08-15,SupAdmCo,7 Tdo 1116/2012
000915Kse_12_20130617115728_prevedeno.txt,15 Kse 9/2012-137,2013-05-27,SupAdmCo,6 Tdo 366/2010
0031_8Afs_100_20110106080958_prevedeno.txt,8 Afs 31/2010-34,2010-12-29,SupAdmCo,29 Cdo 4730/2007
0093_1As__090_20110222105445_prevedeno.txt,1 As 93/2009-212,2011-01-27,SupAdmCo,30 Cdo 450/2002
000512Ksz_1700067_20171221092155_20171221104016_prevedeno.txt,12 Ksz 5/2017-67,2017-11-28,SupAdmCo,3 Tdo 772/2015
0023_4Ads_0500050A_prevedeno.txt,4 Ads 23/2005-50,2006-01-27,SupAdmCo,30 Cdo 120/98-72
0023_4Ads_0500050A_prevedeno.txt,4 Ads 23/2005-50,2006-01-27,SupAdmCo,3 Cao 12/96
0023_4Ads_0500050A_prevedeno.txt,4 Ads 23/2005-50,2006-01-27,SupAdmCo,30 Cdo 120/98
007710As__14_20140722144942_prevedeno.txt,10 As 77/2014-62,2014-06-25,SupAdmCo,22 Cdo 1510/2011
0011_1As__0700070A_prevedeno.txt,1 As 11/2007-70,2007-08-29,SupAdmCo,5 Tz 202/99
001515Kse_12_20130617131930_prevedeno.txt,15 Kse 15/2012-54,2013-05-27,SupAdmCo,6 Tdo 366/2010
