soubor,spisovka,datum,soud,reference,soubor2,datum2,soud2
rozhodnuti-28_Cdo_778_2013.txt,28 Cdo 778/2013,2013-07-19,SupCo,Konf 85/2009,0085_0Konf0900_67b211b0_9459_4fe9_a05c_6e72cc4cf629_prevedeno.txt,2009-11-25,SupAdmCo
rozhodnuti-28_Cdo_778_2013.txt,28 Cdo 778/2013,2013-07-19,SupCo,Konf 31/2007,0031_0Konf0700082A_prevedeno.txt,2008-05-21,SupAdmCo
rozhodnuti-28_Cdo_778_2013.txt,28 Cdo 778/2013,2013-07-19,SupCo,Konf 132/2005,013211Konf0500007A_prevedeno.txt,2006-06-30,SupAdmCo
rozhodnuti-28_Cdo_778_2013.txt,28 Cdo 778/2013,2013-07-19,SupCo,Konf 22/2012,0022_0Konf120_20130423094306_prevedeno.txt,2013-03-27,SupAdmCo
rozhodnuti-28_Cdo_778_2013.txt,28 Cdo 778/2013,2013-07-19,SupCo,4 As 37/2012,0037_4As__1200_20121010035506_prevedeno.txt,2012-09-20,SupAdmCo
rozhodnuti-25_Cdo_5262_2008.txt,25 Cdo 5262/2008,2011-11-29,SupCo,2 Afs 62/2004,0062_2Afs_0400070A_prevedeno.txt,2005-02-24,SupAdmCo
rozhodnuti-22_Cdo_2291_2016.txt,22 Cdo 2291/2016,2018-06-27,SupCo,1 Ao 1/2009,0001_1Ao__0900185A_prevedeno.txt,2009-09-23,SupAdmCo
rozhodnuti-4_Tdo_1093_2016.txt,4 Tdo 1093/2016,2016-08-30,SupCo,1 Afs 147/2005,0147_1Afs_0500107A_prevedeno.txt,2006-05-24,SupAdmCo
rozhodnuti-8_Tdo_157_2009.txt,8 Tdo 157/2009,2009-02-25,SupCo,6 As 56/2004,0056_6As__0400068A_prevedeno.txt,2007-01-25,SupAdmCo
rozhodnuti-33_Cdo_4180_2014.txt,33 Cdo 4180/2014,2015-12-10,SupCo,Konf 31/2007-82,0031_0Konf0700082A_prevedeno.txt,2008-05-21,SupAdmCo
rozhodnuti-33_Cdo_4180_2014.txt,33 Cdo 4180/2014,2015-12-10,SupCo,Konf 62/2012-49,0062_0Konf120_20140821131217_prevedeno.txt,2014-08-21,SupAdmCo
rozhodnuti-33_Cdo_4180_2014.txt,33 Cdo 4180/2014,2015-12-10,SupCo,7 As 99/2011-73,0099_7As__110_20111123013030_prevedeno.txt,2011-11-26,SupAdmCo
