ssource_file,docket_number,date,court,reference,source_file2,date2,court2
3-3376-16_1.txt,III. US 3376/16,2016-11-15,ConCo,7 Aps 3/2008-98,0003_7Aps_080_20101124085118_prevedeno.txt,2010-11-16,SupAdmCo
3-3376-16_1.txt,III. US 3376/16,2016-11-15,ConCo,6 Aps 4/2007-65,0004_6Aps_0700065A_prevedeno.txt,2008-11-26,SupAdmCo
Pl-1-17_1.txt,Pl. US 1/17,2017-02-21,ConCo,Vol 11/2004-31,001111Vol_0400031A_prevedeno.txt,2004-12-09,SupAdmCo
1-3001-07_1.txt,I. US 3001/07,2008-08-25,ConCo,1 Afs 7/2008,0007_1Afs_0800091A_prevedeno.txt,2008-03-11,SupAdmCo
1-741-06_1.txt,I. US 741/06,2007-04-11,ConCo,5 Azs 93/2006-72,0093_5Azs_0600072A_prevedeno.txt,2006-08-23,SupAdmCo
1-741-06_1.txt,I. US 741/06,2007-04-11,ConCo,4 Azs 165/2004-36,0165_4Azs_0400036A_prevedeno.txt,2004-07-28,SupAdmCo
2-1703-07_1.txt,II. US 1703/07,2008-01-09,ConCo,5 Ads 16/2003,0016_5Ads_0300040A_prevedeno.txt,2004-01-30,SupAdmCo
2-781-15_1.txt,II. US 781/15,2015-09-29,ConCo,6 Ads 134/2012-47,0134_6Ads_12_20130327164148_prevedeno.txt,2013-02-27,SupAdmCo
1-671-13_1.txt,I. US 671/13,2013-07-29,ConCo,2 Afs 24/2005-44,0024_2Afs_0500044A_prevedeno.txt,2005-07-14,SupAdmCo
1-1742-08_1.txt,I. US 1742/08,2011-11-08,ConCo,3 Ao 1/2007-44,0001_3Ao__0700044A_prevedeno.txt,2007-03-13,SupAdmCo
1-1742-08_1.txt,I. US 1742/08,2011-11-08,ConCo,1 Ao 1/2006-74,0001_1Ao__0600074A_prevedeno.txt,2006-07-18,SupAdmCo
2-7-14_1.txt,II. US 7/14,2015-01-29,ConCo,1 Afs 47/2004-75,0047_1Afs_0400075A_prevedeno.txt,2004-11-24,SupAdmCo
2-7-14_1.txt,II. US 7/14,2015-01-29,ConCo,2 Afs 81/2004-54,0081_2Afs_0400054A_prevedeno.txt,2005-11-26,SupAdmCo
2-7-14_1.txt,II. US 7/14,2015-01-29,ConCo,2 Afs 52/2005-105,0052_2Afs_0500105A_prevedeno.txt,2006-08-03,SupAdmCo
2-7-14_1.txt,II. US 7/14,2015-01-29,ConCo,8 As 47/2005-86,0047_8As__0500086A_prevedeno.txt,2008-11-21,SupAdmCo
1-2254-10_1.txt,I. US 2254/10,2010-10-27,ConCo,4 Ads 147/2008-95,0147_4Ads_0800095A_prevedeno.txt,2009-05-28,SupAdmCo
4-729-14_1.txt,IV. US 729/14,2014-04-09,ConCo,Aprk 73/2013,0073_0Aprk130_20131218091752_prevedeno.txt,2013-12-17,SupAdmCo
1-451-03.txt,I. US 451/03,2005-02-16,ConCo,6 Afs 3/2003-20,0003_6Afs_0300020A_prevedeno.txt,2003-05-27,SupAdmCo
1-1534-08_1.txt,I. US 1534/08,2008-12-17,ConCo,2 Afs 24/2005-44,0024_2Afs_0500044A_prevedeno.txt,2005-07-14,SupAdmCo
2-1947-09_1.txt,II. US 1947/09,2009-09-22,ConCo,2 Ans 3/2006-49,0003_2Ans_0600049A_prevedeno.txt,2007-04-24,SupAdmCo
2-1195-16_1.txt,II. US 1195/16,2016-06-23,ConCo,2 Afs 122/2008-58,0122_2Afs_0800_791bf3cf_8606_45c3_b58e_d04c68fb2ee3_prevedeno.txt,2009-11-11,SupAdmCo
1-563-09_1.txt,I. US 563/09,2009-04-16,ConCo,5 Afs 114/2006-56,0114_5Afs_0600056A_prevedeno.txt,2007-12-20,SupAdmCo
1-563-09_1.txt,I. US 563/09,2009-04-16,ConCo,7 Afs 48/2008-53,0048_7Afs_0800053A_prevedeno.txt,2008-12-03,SupAdmCo
1-2570-15_1.txt,I. US 2570/15,2015-10-26,ConCo,4 As 3/2008-78,0003_4As__0800078A_prevedeno.txt,2010-08-24,SupAdmCo
3-3667-17_1.txt,III. US 3667/17,2018-04-10,ConCo,1 Ao 1/2009-120,0001_1Ao__0900120A_prevedeno.txt,2009-07-21,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,9 As 36/2008-43,0036_9As__0800043A_prevedeno.txt,2008-07-17,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,3 Azs 33/2004-98,0033_3Azs_0400098A_prevedeno.txt,2005-04-21,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,4 Azs 3/2004-48,0003_4Azs_0400048A_prevedeno.txt,2004-02-27,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,2 Azs 92/2005-58,0092_2Azs_0500058A_prevedeno.txt,2005-12-20,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,6 As 2/2003-66,0002_6As__0300066A_prevedeno.txt,2003-11-20,SupAdmCo
1-2482-08_1.txt,I. US 2482/08,2011-04-07,ConCo,2 Azs 9/2003-40,0009_2Azs_0300040A_prevedeno.txt,2003-10-23,SupAdmCo
3-1479-14_1.txt,III. US 1479/14,2015-04-16,ConCo,8 As 6/2011,0006_8As__110_20120904042922_prevedeno.txt,2012-08-29,SupAdmCo
1-3440-10_1.txt,I. US 3440/10,2010-12-14,ConCo,2 As 52/2010-59,0052_2As__1000_406e3ea0_2264_4874_b8e2_f78ede240f45_prevedeno.txt,2010-08-19,SupAdmCo
2-3373-15_1.txt,II. US 3373/15,2017-09-26,ConCo,4 As 259/2014-38,0259_4As__1400038_20150219102111_prevedeno.txt,2015-02-06,SupAdmCo
1-89-06_1.txt,I. US 89/06,2008-10-06,ConCo,3 As 1/2005-59,0001_3As__0500059A_prevedeno.txt,2005-11-16,SupAdmCo
2-144-17_1.txt,II. US 144/17,2017-02-15,ConCo,1 Afs 171/2015-41,0171_1Afs_1500041_20150924150019_prevedeno.txt,2015-08-27,SupAdmCo
2-144-17_1.txt,II. US 144/17,2017-02-15,ConCo,1 Afs 121/2014-52,0121_1Afs_1400052_20150108142955_prevedeno.txt,2014-12-17,SupAdmCo
1-1262-17_1.txt,I. US 1262/17,2018-03-27,ConCo,7 As 311/2017,0311_7As__1700039_20171214145009_20171218102026_prevedeno.txt,2017-12-12,SupAdmCo
1-1745-16_1.txt,I. US 1745/16,2016-06-07,ConCo,4 Ads 155/2008,0155_4Ads_0800088A_prevedeno.txt,2009-03-30,SupAdmCo
1-3148-11_1.txt,I. US 3148/11,2011-11-15,ConCo,6 Azs 27/2004,0027_6Azs_0400041A_prevedeno.txt,2004-04-28,SupAdmCo
1-3148-11_1.txt,I. US 3148/11,2011-11-15,ConCo,2 Ans 7/2011-31,0007_2Ans_110_20110713031220_prevedeno.txt,2011-07-07,SupAdmCo
3-3289-16_1.txt,III. US 3289/16,2016-11-15,ConCo,3 As 24/2005-73,0024_3As__0500073A_prevedeno.txt,2006-08-02,SupAdmCo
4-1716-12_1.txt,IV. US 1716/12,2013-07-11,ConCo,5 Afs 92/2008,0092_5Afs_0800_deec69be_b5fb_4f30_803f_6c0bee380c66_prevedeno.txt,2010-09-02,SupAdmCo
3-1119-08_1.txt,III. US 1119/08,2008-07-02,ConCo,2 As 74/2003-86,0074_2As__0300086A_prevedeno.txt,2005-04-06,SupAdmCo
3-1119-08_1.txt,III. US 1119/08,2008-07-02,ConCo,A 8/2003,000811A___0300032A_prevedeno.txt,2003-09-24,SupAdmCo
3-1119-08_1.txt,III. US 1119/08,2008-07-02,ConCo,2 As 74/2003,0074_2As__0300086A_prevedeno.txt,2005-04-06,SupAdmCo
3-1119-08_1.txt,III. US 1119/08,2008-07-02,ConCo,5 As 47/2006,0047_5As__0600066A_prevedeno.txt,2007-12-20,SupAdmCo
2-960-16_1.txt,II. US 960/16,2016-04-19,ConCo,4 As 157/2014-34,0157_4As__1400034_20141104104440_prevedeno.txt,2014-11-23,SupAdmCo
1-2943-10_1.txt,I. US 2943/10,2011-01-17,ConCo,2 As 47/2010,0047_2As__1000_557cc955_b8ba_4bfe_b433_4fc742c31154_prevedeno.txt,2010-07-19,SupAdmCo
1-3229-09_1.txt,I. US 3229/09,2010-09-06,ConCo,4 As 38/2008-97,0038_4As__0800097A_prevedeno.txt,2009-06-24,SupAdmCo
2-3722-13_1.txt,II. US 3722/13,2014-02-05,ConCo,1 Afs 90/2012-50,0090_1Afs_1200050A_prevedeno.txt,2013-01-17,SupAdmCo
3-648-04.txt,III. US 648/04,2005-07-28,ConCo,5 Afs 19/2003,0019_5Afs_0300093A_prevedeno.txt,2005-11-21,SupAdmCo
3-352-18_1.txt,III. US 352/18,2018-03-27,ConCo,10 As 89/2017-38,008910As__1700038_20180109084510_20180110114027_prevedeno.txt,2017-12-20,SupAdmCo
3-352-18_1.txt,III. US 352/18,2018-03-27,ConCo,8 Afs 15/2007-75,0015_8Afs_0700075A_prevedeno.txt,2009-04-14,SupAdmCo
3-352-18_1.txt,III. US 352/18,2018-03-27,ConCo,8 Afs 15/2007,0015_8Afs_0700096A_prevedeno.txt,2009-07-28,SupAdmCo
4-174-05.txt,IV. US 174/05,2006-03-22,ConCo,5 Afs 53/2004-43,0053_5Afs_0400043A_prevedeno.txt,2005-01-11,SupAdmCo
1-262-06.txt,I. US 262/06,2006-10-10,ConCo,2 As 38/2005-132,0038_2As__0500132A_prevedeno.txt,2005-11-30,SupAdmCo
1-329-03.txt,I. US 329/03,2006-06-15,ConCo,6 As 61/2004-45,0061_6As__0400045A_prevedeno.txt,2006-01-19,SupAdmCo
2-2858-17_1.txt,II. US 2858/17,2017-12-12,ConCo,5 As 221/2017-26,0221_5As__1700026_20170926093343_prevedeno.txt,2017-09-21,SupAdmCo
2-2858-17_1.txt,II. US 2858/17,2017-12-12,ConCo,5 As 221/2017-22,0221_5As__1700022_20180313115447_20180315072035_prevedeno.txt,2017-08-17,SupAdmCo
2-821-07_1.txt,II. US 821/07,2007-10-11,ConCo,2 Afs 26/2005-67,0026_2Afs_0500067A_prevedeno.txt,2005-11-29,SupAdmCo
1-627-10_1.txt,I. US 627/10,2010-08-03,ConCo,2 As 12/2009-58,0012_2As__0900_0527a8f9_e256_4445_9564_efa4fa58d54b_prevedeno.txt,2009-12-17,SupAdmCo
1-2921-15_1.txt,I. US 2921/15,2015-11-25,ConCo,7 As 26/2011-175,0026_7As__110_20110809035311_prevedeno.txt,2011-07-22,SupAdmCo
4-2167-17_1.txt,IV. US 2167/17,2017-09-26,ConCo,2 Aps 3/2004-42,0003_2Aps_0400042A_prevedeno.txt,2005-08-04,SupAdmCo
4-2167-17_1.txt,IV. US 2167/17,2017-09-26,ConCo,2 Aps 1/2005-65,0001_2Aps_0500065A_prevedeno.txt,2005-03-17,SupAdmCo
Pl-47-17_2.txt,Pl. US 47/17,2018-01-09,ConCo,Vol 84/2017,0084_0Vol_1700175_20171215093526_20171218130021_prevedeno.txt,2017-12-13,SupAdmCo
1-462-07_1.txt,I. US 462/07,2007-06-07,ConCo,2 As 53/2004,0053_2As__0400076A_prevedeno.txt,2005-04-21,SupAdmCo
