source_file,docket_number,date,court,reference,source_file2,date2,court2
000211A___0300073A_prevedeno.txt,A 2/2003-73,2006-07-31,SupAdmCo, Pl. US 50/04,Pl-50-04.txt,2006-03-08,ConCo
000211A___0300073A_prevedeno.txt,A 2/2003-73,2006-07-31,SupAdmCo, Pl. US 31/03,Pl-31-03.txt,2004-02-11,ConCo
0001_6Aps_11_20110715030849_prevedeno.txt,6 Aps 1/2011 - 55,2011-06-22,SupAdmCo, II. US 828/06,2-828-06.txt,2007-02-06,ConCo
0108_7As__11_20111014081749_prevedeno.txt,7 As 108/2011 - 66,2011-09-23,SupAdmCo, IV. US 162/99,4-162-99.txt,1999-08-03,ConCo
0092_5Afs_1400001_prevedeno.txt,8 Afs 139/2006 - 68,2007-12-13,SupAdmCo, Pl. US 31/03,Pl-31-03.txt,2004-02-11,ConCo
0045_5Afs_1000_724ebc0a_958f_4bd1_95e2_32ad315d3d5d_prevedeno.txt,5 Afs 45/2010 - 54,2010-07-22,SupAdmCo, II. US 1416/07,2-1416-07_1.txt,2009-02-05,ConCo
0045_5Afs_1000_724ebc0a_958f_4bd1_95e2_32ad315d3d5d_prevedeno.txt,5 Afs 45/2010 - 54,2010-07-22,SupAdmCo, IV. US 816/07,4-816-07_1.txt,2009-03-02,ConCo
0217_7Afs_0600121A_prevedeno.txt,7 Afs 217/2006 - 121,2007-11-01,SupAdmCo, Pl. US 31/03,Pl-31-03.txt,2004-02-11,ConCo
0023_1As__1300002_prevedeno.txt,8 As 32/2009 - 213,2010-05-26,SupAdmCo, Pl. US 34/97,Pl-34-97.txt,1998-05-27,ConCo
0012_7Afs_110_20110720083051_prevedeno.txt,7 Afs 12/2011 - 248,2011-06-17,SupAdmCo, I. US 560/03,1-560-03.txt,2005-04-26,ConCo
0046_2Afs_0800175A_prevedeno.txt,2 Afs 46/2008 - 175,2009-02-05,SupAdmCo, I. US 1841/07,1-1841-07_1.txt,2008-02-11,ConCo
0100_6Ads_0700082A_prevedeno.txt,6 Ads 100/2007 - 82,2008-08-20,SupAdmCo, I. US 1041/07,1-1041-07_1.txt,2008-01-23,ConCo
0008_2Ans_120_20120723115912_prevedeno.txt,2 Ans 8/2012 - 31,2012-07-17,SupAdmCo, III. US 1315/09,3-1315-09_1.txt,2009-06-18,ConCo
0226_1Afs_1400033_20150109102349_prevedeno.txt,1 Afs 226/2014 - 33,2014-12-17,SupAdmCo, Pl. US 39/13,Pl-39-13_1.txt,2014-10-07,ConCo
0093_5Afs_130_20140506155935_prevedeno.txt,5 Afs 93/2013 - 34,2014-04-29,SupAdmCo, I. US 403/03,1-403-03.txt,2005-08-17,ConCo
0093_5Afs_130_20140506155935_prevedeno.txt,5 Afs 93/2013 - 34,2014-04-29,SupAdmCo, I. US 249/99,1-249-99.txt,1999-09-07,ConCo
0179_5Afs_0600085A_prevedeno.txt,5 Afs 179/2006 - 85,2008-02-22,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0179_5Afs_0600085A_prevedeno.txt,5 Afs 179/2006 - 85,2008-02-22,SupAdmCo, I. US 403/03,1-403-03.txt,2005-08-17,ConCo
0140_9As__1600046_20161212100333_prevedeno.txt,9 As 140/2016 - 46,2016-12-08,SupAdmCo, II. US 443/16,2-443-16_1.txt,2016-10-25,ConCo
0004_8As__130_20131129093404_prevedeno.txt,8 As 4/2013 - 52,2013-11-30,SupAdmCo, Pl. US 32/95,Pl-32-95_1.txt,1996-04-03,ConCo
0151_5Afs_0500082A_prevedeno.txt,5 Afs 151/2005 - 82,2006-05-17,SupAdmCo, Pl. US 54/2000,Pl-54-2000.txt,2001-01-23,ConCo
0025_8Afs_110_20120214091952_prevedeno.txt,8 Afs 25/2011 - 54,2012-02-08,SupAdmCo, Pl. US 12/06,Pl-12-06_1.txt,2008-07-02,ConCo
0005_2As__0800080A_prevedeno.txt,2 As 5/2008 - 80,2009-05-21,SupAdmCo, IV. US 154/97,4-154-97.txt,1998-02-09,ConCo
0005_2As__0800080A_prevedeno.txt,2 As 5/2008 - 80,2009-05-21,SupAdmCo, Pl. US 28/04,Pl-28-04.txt,2005-11-08,ConCo
0025_8As__1300048A_prevedeno.txt,8 As 25/2013 - 48,2014-12-08,SupAdmCo, III. US 272/13,3-272-13_1.txt,2013-06-11,ConCo
0167_7Azs_0600064A_prevedeno.txt,7 Azs 167/2006 - 64,2007-01-31,SupAdmCo, Pl. US 15/01,Pl-15-01.txt,2001-10-31,ConCo
0167_7Azs_0600064A_prevedeno.txt,7 Azs 167/2006 - 64,2007-01-31,SupAdmCo, III. US 150/03,3-150-03.txt,2003-11-06,ConCo
0264_4Afs_1500043_20160219125928_prevedeno.txt,4 Afs 264/2015 - 43,2016-02-11,SupAdmCo, III. US 473/09,3-473-09_1.txt,2009-10-15,ConCo
0264_4Afs_1500043_20160219125928_prevedeno.txt,4 Afs 264/2015 - 43,2016-02-11,SupAdmCo, IV. US 162/99,4-162-99.txt,1999-08-03,ConCo
0267_5Afs_1500038_20170828140045_prevedeno.txt,5 Afs 267/2015 - 38,2017-08-24,SupAdmCo, III. US 3221/11,3-3221-11_1.txt,2013-12-12,ConCo
0267_5Afs_1500038_20170828140045_prevedeno.txt,5 Afs 267/2015 - 38,2017-08-24,SupAdmCo, I. US 3244/09,1-3244-09_1.txt,2011-03-10,ConCo
0170_1Azs_0500067A_prevedeno.txt,1 Azs 170/2005 - 67,2006-05-18,SupAdmCo, III. US 84/94,3-84-94.txt,1995-06-20,ConCo
0170_1Azs_0500067A_prevedeno.txt,1 Azs 170/2005 - 67,2006-05-18,SupAdmCo, III. US 94/97,3-94-97.txt,1997-06-26,ConCo
0170_1Azs_0500067A_prevedeno.txt,1 Azs 170/2005 - 67,2006-05-18,SupAdmCo, II. US 686/02,2-686-02.txt,2004-10-21,ConCo
0231_0Nad_1600053_20161123125650_prevedeno.txt,Nad 231/2016 - 53,2016-11-16,SupAdmCo, I. US 144/2000,1-144-2000.txt,2001-11-15,ConCo
0246_6Afs_1600033_20170105121203_prevedeno.txt,6 Afs 246/2016 - 33,2016-12-21,SupAdmCo, IV. US 613/06,4-613-06_1.txt,2007-04-18,ConCo
0246_6Afs_1600033_20170105121203_prevedeno.txt,6 Afs 246/2016 - 33,2016-12-21,SupAdmCo, III. US 470/97,3-470-97.txt,1999-11-25,ConCo
0007_6Ads_0300059A_prevedeno.txt,6 Ads 7/2003 - 59,2005-02-23,SupAdmCo, Pl. US 13/94,Pl-13-94.txt,1994-11-23,ConCo
0233_7Afs_0600062A_prevedeno.txt,7 Afs 233/2006 - 62,2007-07-12,SupAdmCo, II. US 644/02,2-644-02.txt,2004-06-23,ConCo
0233_7Afs_0600062A_prevedeno.txt,7 Afs 233/2006 - 62,2007-07-12,SupAdmCo, IV. US 64/02,4-64-02.txt,2002-06-17,ConCo
0189_4As__1400044_20150204150715_prevedeno.txt,4 As 189/2014 - 44,2015-01-23,SupAdmCo, III. US 61/94,3-61-94.txt,1995-02-16,ConCo
0189_4As__1400044_20150204150715_prevedeno.txt,4 As 189/2014 - 44,2015-01-23,SupAdmCo, I. US 549/2000,1-549-2000.txt,2001-04-18,ConCo
0189_4As__1400044_20150204150715_prevedeno.txt,4 As 189/2014 - 44,2015-01-23,SupAdmCo, II. US 663/2000,2-663-2000.txt,2001-04-10,ConCo
